goodreads_id,title,author,my_rating,my_review,genres
17572327,The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,2,"I've seen the movie, obviously, and it was fun. It's hard to disentangle the nostalgia of the movie from the reading experience. The novel certain has an interesting framing, with the story within a story, and the whole meta conversation. <br/><br/>But unique framings are not enough to get a high rating. Novels should be interesting or compelling or exciting or thoughtful or funny, or anything damn it. And I just don't know that I got much from this. I don't remember laughing at any point. I don't remember thinking deeply. I don't remember being excited or eagerly waiting so see what was next. <br/><br/>On top of this, the book has some real issues. Every female character in the entire novel is somehow utilized for her sex appeal. The starlet at the beginning exists exclusively to be sexy and tempt our main character, and to frame his as a powerful man in film. The lawyer at the ending exists exclusively to be sexy and tempt our main character. Before you protest that she has agency, any real conflict she brings to the story isn't her own, it's at the leisure of another man, Stephen King, to resolve. The countess in the book exists to be alluring and rich and to tempt the FMC's love interest. The FMC herself exists explicitly to be beautiful and sexy and tempt literally everyone. And the continuation in Buttercup's Baby is no improvement -- Indigo's love interest doesn't merely exist to be sexy, she is quite literally the explicit manifestation of his fantasies.<br/><br/>For a book that drones on and on about true love, it sure does manage to marginalize it. There's a fascinating aspect to love -- that we hold it in higher esteem when it is undeserved. <br/><br/>Reading this, I don't see any valuable love. I see cheap and obvious love. I find myself thinking, ""Oh, so you love the literal most beautiful woman on earth? Good for you, who wouldn't?"" ""Oh, so you love the man who beat the best fencer, then the most intelligent criminal, then the strongest giant, who became the rich and famous pirate captain, is a natural leader, owns boat, who braves death to find you, who's actual catchphrase is 'as you wish?'"" Girl, that's not love, that common sense.<br/><br/>It should be noted that our male love intrest is the smartest, strongest, and most capable man on earth, and our female love interest is a little dumb, but by golly she sure is the most physically attractive girl on earth. <br/><br/>I'm sure there is someone out there smiling at my naive inability to recognize satire when it stares me in the face, but I can hardly justify the label when the gross tropes are accompanied by no cutting bite.<br/><br/>I had originally given this 3 stars, but after thinking about it more, I've dropped to 2.<br/><br/><blockquote>I don't mind killing a girl. God does it all the time, and if it doesn't bother him, then why let it bother you.</blockquote>",Fantasy|Classics|Fiction|Romance|Humor|Adventure|Young Adult
12851913,Roadside Picnic,Arkady Strugatsky,5,"A weird and interesting book that was genuinely compelling. I hesitate a little bit in giving it a full 5 stars, maybe it should really have 4.5 rounded down, but I wanted it to be distinguished from my sea of 4 star ratings. Sadly I forgot to take any notes while reading it, so I'll go off my memory.<br/><br/>I really like the idea of the aliens coming and leaving their random garbage and changing our civilization. The extreme _wierdness_ of the zone, and the strange personalities who leech off it. I always love a book that can throw you into a weird and grungy world head first, and this accomplishes that admirably. I'm trying to figure what exactly drew me to it, why it compelled, outside of simply listing the style.<br/><br/>I really loved the ambiguous ending.<br/><br/>I should note that this book has some definite sexualization of all the female characters -- they hardly feel like people -- but this is a small enough part of the book to not bother me overmuch.  <br/><br/>The narrator, Robert Forster, I think, was absolutely excellent. He carried the excitement with breathtaking brilliance. <br/><br/><blockquote>It was once said, and very rightly, that a man who is well-brought-up may read anything.</blockquote><br/><br/>Bit of a scattered review here, I know. Maybe I'll think on it a little and come back. It's a solid sci-fi recommendation though.",Science Fiction|Fiction|Russia|Classics|Dystopia|Russian Literature|Fantasy
4982,The Sirens of Titan,Kurt Vonnegut Jr.,3,"I remember reading some more mainstream Kurt Vonnegut about a decade ago and really enjoying it. This book has all the weirdness I remember from other Vonnegut reads, but I just didn't find it compelling. <br/><br/>There is some interesting thinking in here, that was perhaps very new to the 1950s, but seems somewhat pedestrian to my modern knowledge-base. For instance the idea that we intentionally unite humanity by artificially creating a trivial common enemy (chatgpt informs me that Unite and Conquer had this plot as far back as 1948 tho).<br/><br/>There's a cruel irony to the man who has everything being shown beauty he can't have, and when he finally obtains it it languishes under muck at the bottom of a pool. I mean, the whole novel is basically a set of cruel ironies. <br/><br/>The idea of existing punctually vs infinitely temporally is interesting. There's a pleasing futility in the idea of the human race being a trivial messaging apparatus for a robot delivering a period to another star system. I think you can see the influences of this book on Hitchhikers Guide to the Galaxy. Actually, after a bit of research, Adams explicitly stated that he read Sirens of Titan SIX times and that it was an influence. <br/><br/>Adam's says that he likes the kind of scifi that lets you stand far outside of human life and reinterpret it. <br/><br/>It is interesting to ponder this, because intellectually I see what Vonnegut was trying to do, but I simply don't like the book. Meanwhile, I quite enjoyed HGTTG. I suppose we stand on the shoulder's of giants.<br/><br/>I was originally going to give this a 2.5 rounded down, but I think it has enough merit intellectually to deserve a 3.",Fiction|Science Fiction|Classics|Humor|Fantasy|Literature|Novels
25667918,"Binti (Binti, #1)",Nnedi Okorafor,3,"This was an interesting an unique story that tried to deal with themes of cultural isolation and belonging. It struggled both as a story in general and to accomplish it's thematic goals.<br/><br/>As a story, it struggled to be believable. There's a scene where our FMC realizes that she can talk to the bloodthirsty monsters, and they are actual sane and capable of conversation. She is the smartest in her tribe, an expert at harmony, selected to attend a premier university...and she totally neglects to engage in any meaningful conversation whatsoever. ""why are you killing us, how can we end the bloodshed, where do you come from, let me tell you about my people"" We get absolutely none of this until the almighty instrument of plot sees fit to grace us with a dose of reality.<br/><br/>Then, the entire conceit of the conflict is based on lack of communication, which Binti solves with her magic and personal nature...until we arrive on the planet and it turns out there is a second alien who can casually speak in the language of the bad guys. Why was there ever any conflict if we could speak their language the whole time??<br/><br/>Thematically, I never really got to the point where I cared about her or her people. Her isolation was told, not felt. Then, there were key moment where she could have had a meaningful struggle to work through but simply didn't. When making her red clay paint, she could have failed, which would have been philosophically interesting, but didn't. This may have been ok, but then to test both the wholeness of the clay and her value as a person instead of a tool, she uses it to heal the alien. This could have failed, but again didn't. Both of these successes really robbed the plot of meaningful challenge, and the story of depth.<br/><br/>Anyway, I don't regret reading it, but it wouldn't go on any recommendation list, and I won't trust this author with any more of my time.",Science Fiction|Fiction|Fantasy|Novella|Audiobook|Young Adult|Short Stories
112975658,The Frozen River,Ariel Lawhon,3,,Historical Fiction|Book Club|Fiction|Mystery|Audiobook|Historical|Thriller
41733839,The Great Gatsby,F. Scott Fitzgerald,4,"4.5, maybe even 5. What a masterfully crafted novel. It's simply amazing how awful all these people are, and yet how the author makes them seem somehow real, instead of trivial caricatures. Each characterization feels strong, unique, and compelling. <br/><br/>I also appreciate how the author never feels the need to hold your hand. You learn that Gatsby is involved in shady business not because it is ever said out right, but through an accumulation of little evidences. The suspicion of other characters, the association with Wolfsheim, the nervous phone calls immediately hung up.<br/><br/>Anyway, this is a lightning fast read and an easy recommendation.<br/><br/><blockquote><br/>As for Tom, the fact that he “had some woman in New York” was really less surprising than that he had been depressed by a book. Something was making him nibble at the edge of stale ideas, as if his sturdy physical egotism no longer nourished his peremptory heart. <br/></blockquote><br/><br/><blockquote><br/>The truth was that Jay Gatsby of West Egg, Long Island, sprang from his Platonic conception of himself. He was a son of God—a phrase which, if it means anything, means just that—and he must be about His Father’s business, the service of a vast, vulgar, and meretricious beauty.<br/></blockquote><br/><br/>Love the use of Platonic here. It speaks to an older time when philosophy was common learning.<br/><br/><blockquote><br/>I shook hands with him; it seemed silly not to, for I felt suddenly as though I were talking to a child.<br/></blockquote><br/>What an excellent emotion. To completely recharacterize your negative emotions with the after the realization of the complete worthlessness of the opposing party.",Classics|Fiction|School|Historical Fiction|Romance|Literature|Novels
2493,The Time Machine,H.G. Wells,2,,Classics|Science Fiction|Fiction|Time Travel|Fantasy|Dystopia|Audiobook
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,3,,Science Fiction|Fiction|Classics|Dystopia|Cyberpunk|Science Fiction Fantasy|Fantasy
185912,The Lathe of Heaven,Ursula K. Le Guin,4,,Science Fiction|Fiction|Fantasy|Classics|Dystopia|Science Fiction Fantasy|Book Club
30841984,"Kings of the Wyld (The Band, #1)",Nicholas Eames,3,,Fantasy|Fiction|Humor|High Fantasy|Adventure|Adult|Audiobook
590036,Ubik,Philip K. Dick,4,,Science Fiction|Fiction|Classics|Novels|Mystery|Science Fiction Fantasy|Audiobook
